id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name
164167,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.75,4.0,3.0,7:47,0.0,2.0,3.0,2.0,0.0,1.0,5090,1996-11-19T00:00:00.000Z,10,109,4,False,1996,Final, ,14,112,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
164417,1.0,1.0,1.0,1.0,3.0,3.0,0.8,5.0,4.0,0.0,0.0,0.0,20:32,0.0,1.0,11.0,1.0,0.0,2.0,2737,1996-11-20T00:00:00.000Z,14,97,4,False,1996,Final, ,29,113,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
164850,,,,,,,,,,,,,,,,,,,,5207,1996-11-22T00:00:00.000Z,14,96,4,False,1996,Final, ,27,86,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
165179,,,,,,,,,,,,,,,,,,,,2510,1996-11-24T00:00:00.000Z,14,85,4,False,1996,Final, ,11,90,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
165361,1.0,0.0,1.0,0.4,5.0,2.0,0.4,10.0,4.0,1.0,2.0,2.0,20:52,0.0,1.0,12.0,1.0,0.0,3.0,4931,1996-11-26T00:00:00.000Z,23,88,4,False,1996,Final, ,14,100,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
165716,1.0,1.0,3.0,0.0,3.0,0.0,0.143,7.0,1.0,0.0,0.0,0.0,19:33,1.0,3.0,2.0,4.0,0.0,2.0,5826,1996-11-27T00:00:00.000Z,2,110,4,False,1996,Final, ,14,94,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
165986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2.0,1.0,6:35,1.0,1.0,1.0,1.0,0.0,0.0,5828,1996-11-29T00:00:00.000Z,9,76,4,False,1996,Final, ,14,84,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
166340,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,2:41,0.0,0.0,2.0,1.0,0.0,1.0,6293,1996-12-01T00:00:00.000Z,14,104,4,False,1996,Final, ,8,96,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
166363,3.0,2.0,1.0,0.0,3.0,0.0,0.3,10.0,3.0,0.833,6.0,5.0,22:02,2.0,2.0,11.0,3.0,2.0,3.0,6125,1996-12-08T00:00:00.000Z,14,110,4,False,1996,Final, ,18,86,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
166616,,,,,,,,,,,,,,,,,,,,2744,1996-12-03T00:00:00.000Z,14,110,4,False,1996,Final, ,21,106,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
166805,2.0,0.0,2.0,0.0,0.0,0.0,0.333,6.0,2.0,0.667,6.0,4.0,13:24,1.0,1.0,8.0,3.0,0.0,1.0,6122,1996-12-04T00:00:00.000Z,29,101,4,False,1996,Final, ,14,75,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
167137,,,,,,,,,,,,,,,,,,,,5217,1996-12-06T00:00:00.000Z,14,92,4,False,1996,Final, ,22,81,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
